weight_class,winner,loser,method,round,time,notes,fight_card,event_name,unnamed:_7_level_1
Featherweight 70 kg,Ryogo Takahashi,Keanu Subba,TKO (Punches),1,1:46,,Preliminary Card,ONE Championship: For Honor,
Bantamweight 66 kg,Kenta Yamada,Deividas Danyla,Decision (Split),3,3:00,Muay Thai,Preliminary Card,ONE Championship: For Honor,
Flyweight 61 kg,Chan Rothana,Rudy Agustian,TKO (Punches),2,2:50,,Preliminary Card,ONE Championship: For Honor,
Bantamweight 66 kg,Andrew Miller,Mohammed Bin Mahmoud,Decision (Unanimous),3,3:00,Muay Thai,Preliminary Card,ONE Championship: For Honor,
Strawweight 57 kg,Adrian Mattheis,Himanshu Kaushik,Submission (Rear-Naked Choke),1,4:42,,Preliminary Card,ONE Championship: For Honor,
Strawweight 57 kg,Angelo Bimoadji,Guntur,Submission (Armbar),1,4:56,,Preliminary Card,ONE Championship: For Honor,
Bantamweight 66 kg,Nong-O Gaiyanghadao (c),Hiroaki Suzuki,Decision (Unanimous),5,3:00,For the ONE Muay Thai Bantamweight Championship,Main card,ONE Championship: Warriors Of Light,
Flyweight 61 kg,Petchdam Petchyindee Academy,Elias Mahmoudi,Technical Decision (Unanimous),5,0:29,For the Inaugural ONE Kickboxing Flyweight Championship,Main card,ONE Championship: Warriors Of Light,
Bantamweight 66 kg,Shoko Sato,Mark Abelardo,TKO (Punches),2,1:58,,Main card,ONE Championship: Warriors Of Light,
Flyweight 61 kg,Rodtang Jitmuangnon,Sok Thy,KO (Leg Kicks),2,1:36,Muay Thai,Main card,ONE Championship: Warriors Of Light,
Strawweight 57 kg,Pongsiri Mitsatit,Robin Catalan,KO (Knee to the Body),1,3:05,,Main card,ONE Championship: Warriors Of Light,
Bantamweight 66 kg,Zhang Chenglong,Panicos Yusuf,Decision (Unanimous),3,3:00,Kickboxing,Main card,ONE Championship: Warriors Of Light,
Lightweight 77 kg,Kazuki Tokudome,Adrian Pang,TKO (Referee Stoppage),2,1:27,,Main card,ONE Championship: Warriors Of Light,
Flyweight 61 kg,Savvas Michael,Singtongnoi Por.Telakun,Decision (Unanimous),3,3:00,Muay Thai,Preliminary Card,ONE Championship: Warriors Of Light,
Flyweight 61 kg,Superlek Kiatmuu9,Rui Botelho,Decision (Unanimous),3,3:00,Muay Thai,Preliminary Card,ONE Championship: Warriors Of Light,
Lightweight 77 kg,Pieter Buist,Kota Shimoishi,KO (Knees),2,3:55,,Preliminary Card,ONE Championship: Warriors Of Light,
Atomweight 52 kg,Janet Todd,Wang Chin Long,TKO (3 Knockdown Rule),2,2:59,Kickboxing,Preliminary Card,ONE Championship: Warriors Of Light,
Strawweight 57 kg,Hexigetu,Ovais Shah,Decision (Unanimous),3,5:00,,Preliminary Card,ONE Championship: Warriors Of Light,
Lightweight 77 kg,Christian Lee,Shinya Aoki (c),TKO (Punches),2,0:51,For the ONE Lightweight Championship,Main card,ONE Championship: Enter the Dragon,
Lightweight 77 kg,Regian Eersel,Nieky Holzken,Decision (Unanimous),5,3:00,For the ONE Kickboxing Lightweight Championship,Main card,ONE Championship: Enter the Dragon,
Featherweight 70 kg,Phetmorakot Petchyindee Academy,Giorgio Petrosyan,No Contest,3,3:00,Kickboxing Featherweight Grand-Prix Quarter-finals,Main card,ONE Championship: Enter the Dragon,
Featherweight 70 kg,Samy Sana,Yodsanklai Fairtex,Decision (Unanimous),3,3:00,Kickboxing Featherweight Grand-Prix Quarter-finals,Main card,ONE Championship: Enter the Dragon,
Welterweight 84 kg,Cosmo Alexandre,Sage Northcutt,KO (Punches),1,0:29,,Main card,ONE Championship: Enter the Dragon,
Lightweight 77 kg,Saygid Guseyn Arslanaliev,Amir Khan,KO (Punches),1,2:56,Lightweight Grand-Prix Semi-finals,Main card,ONE Championship: Enter the Dragon,
Flyweight 61 kg,Geje Eustaquio,Kim Kyu Sung,Decision (Unanimous),3,5:00,,Main card,ONE Championship: Enter the Dragon,
Strawweight 57 kg,Miao Li Tao,Dejdamrong Sor Amnuaysirichoke,KO (Punches),1,4:09,,Main card,ONE Championship: Enter the Dragon,
Featherweight 70 kg,Jo Nattawut,Sasha Moisa,TKO (3 Knockdown Rule),3,1:24,Kickboxing Featherweight Grand-Prix Quarter-finals,Preliminary Card,ONE Championship: Enter the Dragon,
Strawweight 57 kg,Yoshitaka Naito,Alex Silva,Decision (Unanimous),3,5:00,,Preliminary Card,ONE Championship: Enter the Dragon,
Featherweight 70 kg,Garry Tonon,Yoshiki Nakahara,Submission (Heel Hook),1,0:55,,Preliminary Card,ONE Championship: Enter the Dragon,
Featherweight 70 kg,Dzhabar Askerov,Enriko Kehl,Decision (Unanimous),3,3:00,Kickboxing Featherweight Grand-Prix Quarter-finals,Preliminary Card,ONE Championship: Enter the Dragon,
Atomweight 52 kg,Mei Yamaguchi,Laura Balin,Submission (Armbar),1,3:46,,Preliminary Card,ONE Championship: Enter the Dragon,
Lightweight 77 kg,Iuri Lapicus,Shannon Wiratchai,Submission (Rear-Naked Choke),3,3:10,,Preliminary Card,ONE Championship: Enter the Dragon,
Featherweight 70 kg,Daniel Dawson,Brown Pinas,Decision (Split),3,3:00,Kickboxing Featherweight Grand-Prix Alternate Bout,Preliminary Card,ONE Championship: Enter the Dragon,
Lightweight 77 kg,Rahul Raju,Richard Corminal,Submission (Rear-Naked Choke),1,4:43,,Preliminary Card,ONE Championship: Enter the Dragon,
Catchweight 80.5 kg,Feng Xing Li,Liu Ya Ning,TKO (Cut),1,2:28,Sanda,Main card,ONE Hero Series May,
Catchweight 73 kg,Jia Ao Qi,Jiao Dao Bo,TKO (Knees & Punches to the Body),2,1:49,Sanda,Main card,ONE Hero Series May,
Bantamweight 66 kg,Meng Ketuogesi,Li Shuai Hu,Decision (Unanimous),3,5:00,,Main card,ONE Hero Series May,
Lightweight 77 kg,Chang Shuai,Sun Shu Wei,Decision (Unanimous),3,5:00,,Main card,ONE Hero Series May,
Catchweight 71 kg,Li Hong Jiang,Yi De Ri Gun,TKO (Corner Stoppage),1,4:00,,Main card,ONE Hero Series May,
Featherweight 70 kg,Zhang Meng Fei,Zhang Shuai,TKO (Punch),2,1:36,Kickboxing,Main card,ONE Hero Series May,
Featherweight 70 kg,Luo Chao,Zhang Wan Xin,TKO (Punches),1,1:42,Kickboxing,Main card,ONE Hero Series May,
Flyweight 61 kg,Xiong Pi Ping,Wang Zhen,Decision (Unanimous),3,5:00,,Main card,ONE Hero Series May,
Catchweight 72 kg,Shang Xi Feng,Zhang Ye,Decision (Split),3,3:00,Kickboxing,Main card,ONE Hero Series May,
Strawweight 57 kg,Li Hong Lin,Sha Ni Du,TKO (Punches),1,2:48,,Main card,ONE Hero Series May,
Flyweight 61 kg,Li Yuan Kun,Zhang Tao,Decision (Unanimous),3,3:00,Kickboxing,Main card,ONE Hero Series May,
Bantamweight 66 kg,Fu Qing Nan,Liu Wei,Decision (Unanimous),3,5:00,Kickboxing,Main card,ONE Hero Series June,
Flyweight 61 kg,Xie Wei,Liu Deligerihu,TKO (Punches),1,2:13,,Main card,ONE Hero Series June,
Catchweight 65 kg,Lu Jun,Song Xu Kui,KO (Punch),2,0:36,Kickboxing,Main card,ONE Hero Series June,
Bantamweight 66 kg,Ahejiang Ailinuer,Zhong Qing Ya,TKO (Punches),1,3:31,,Main card,ONE Hero Series June,
Welterweight 84 kg,Wurigenbayar,Kurbanjiang Tuluosibake,TKO (Punches),1,0:42,,Main card,ONE Hero Series June,
Flyweight 61 kg,Hu Yong,Huyixibai,DQ (Illegal Slam),3,4:22,,Main card,ONE Hero Series June,
Bantamweight 66 kg,Maimaitituoheti,Wang Jing Jia,TKO (Punches),3,4:33,,Main card,ONE Hero Series June,
Flyweight 61 kg,Yan Zhi Yuan,Yang Fu Chong,Decision (Unanimous),3,5:00,,Main card,ONE Hero Series June,
Flyweight 61 kg,Li Hao Jie,Huang Yan Chuan,KO (Head Kick),3,4:17,,Main card,ONE Hero Series June,
Strawweight 57 kg,Li Zhe,Wang Mao Lun,Submission (Arm-Triangle Choke),1,1:45,,Main card,ONE Hero Series June,
Strawweight 57 kg,Cai Xiong Xiong,Tasiken Jumatai,Technical Decision,3,5:00,,Main card,ONE Hero Series June,
Atomweight 52 kg,Stamp Fairtex (c),Alma Juniku,Decision (Unanimous),5,5:00,For the ONE Muay Thai Women's Atomweight Championship,Main card,ONE Championship: Legendary Quest,
Welterweight 84 kg,Agilan Thani,Yoshihiro Akiyama,Decision (Unanimous),3,5:00,,Main card,ONE Championship: Legendary Quest,
Bantamweight 66 kg,Zhang Chenglong,Tyler Hardcastle,KO (Punch),1,1:54,Kickboxing,Main card,ONE Championship: Legendary Quest,
Bantamweight 66 kg,Han Zihao,Andrew Miller,KO (Punches),2,2:36,Muay Thai,Main card,ONE Championship: Legendary Quest,
Featherweight 70 kg,Koyomi Matsushima,Kwon Won Il,Decision (Unanimous),3,5:00,,Main card,ONE Championship: Legendary Quest,
Light Heavyweight 102 kg,Tarik Khbabez,Anderson Silva,Decision (Unanimous),3,3:00,Kickboxing,Main card,ONE Championship: Legendary Quest,
Middleweight 93 kg,Reinier de Ridder,Gilberto Galvao,TKO (Knees),2,0:57,,Main card,ONE Championship: Legendary Quest,
Featherweight 70 kg,Rodlek P.K. Saenchaimuaythaigym,Liam Harrison,Decision (Unanimous),3,3:00,Muay Thai,Main card,ONE Championship: Legendary Quest,
Catchweight 67.5 kg,Chen Lei,Anthony Engelen,Decision (Unanimous),3,5:00,,Preliminary Card,ONE Championship: Legendary Quest,
Middleweight 93 kg,Fan Rong,Sherif Mohamed,TKO (Punches),2,3:50,,Preliminary Card,ONE Championship: Legendary Quest,
Bantamweight 66 kg,Niu Kang Kang,Eric Kelly,Decision (Unanimous),3,5:00,,Preliminary Card,ONE Championship: Legendary Quest,
Lightweight 77 kg,Yoon Chang Min,Trestle Tan,TKO (Punch),1,4:05,,Preliminary Card,ONE Championship: Legendary Quest,
Atomweight 52 kg,Itsuki Hirata,Angelie Sabanal,Submission (Americana),1,2:59,,Preliminary Card,ONE Championship: Legendary Quest,
Featherweight 70 kg,Phoe Thaw,Victorio Senduk,KO (Punches),1,4:17,,Preliminary Card,ONE Championship: Legendary Quest,
Featherweight 70 kg,Shinechagtga Zoltsetseg,Hyunjin Lee,TKO (Punches),1,1:21,,Main card,ONE Warrior Series 6,
Featherweight 70 kg,Jerry Olsim,Myeong Gu Kim,Decision (Unanimous),3,5:00,,Main card,ONE Warrior Series 6,
Welterweight 84 kg,De’Von Morris,Javed Mulla,Submission (Armbar),1,0:43,,Main card,ONE Warrior Series 6,
Welterweight 84 kg,Gadzhimurad Abdulaev,Carlos Prates,Decision (Unanimous),3,5:00,,Main card,ONE Warrior Series 6,
Featherweight 70 kg,Alan Philpott,Zechariah Lange,Decision (Unanimous),3,5:00,,Main card,ONE Warrior Series 6,
Lightweight 77 kg,Takuya Nagata,Kieran Joblin,TKO (Retirement),1,5:00,,Main card,ONE Warrior Series 6,
Atomweight 52 kg,Ji Yeon Seo,Edilah Johany,TKO (Punches),3,3:48,,Main card,ONE Warrior Series 6,
Strawweight 57 kg,Irfan Ahmad,Sandeep Gurung,Submission (Armbar),1,1:27,,Main card,ONE Warrior Series 6,
Strawweight 57 kg,Dave Banguigui,Susovan Ghosh,KO (Punch),2,3:58,,Main card,ONE Warrior Series 6,
Strawweight 57 kg,Manthan Rane,Allan Albindo,Deacision (Unanimous),3,5:00,,Main card,ONE Warrior Series 6,
Flyweight 61 kg,Sai Nyan Lin,Peter Danasoe,Submission (Triangle Choke),3,2:15,,Main card,ONE Warrior Series 6,
Flyweight 61 kg,Viet Anh Do,Tae Ho Bak,TKO (Punches),1,0:48,,Main card,ONE Warrior Series 6,
Atomweight 52 kg,Satomi Takano,Michele Ferreira,Submission (Armbar),2,2:56,,Main card,ONE Warrior Series 6,
Featherweight 70 kg,Jace Law,Jong Heon Kim,TKO (Punches),1,0:07,,Main card,ONE Warrior Series 6,
Welterweight 84 kg,Gunther Kalunda,Mehdi Bagheri,TKO (Head Kick and Knee),2,0:56,,Main card,ONE Warrior Series 6,
Welterweight 84 kg,Xie Xiaoxiang,Nat Natchayangkul,TKO (Punches),2,4:13,,Main card,ONE Warrior Series 6,
Featherweight 70 kg,Giorgio Petrosyan,Phetmorakot Petchyindee Academy,Decision (Unanimous),3,3:00,Kickboxing Featherweight Grand-Prix Quarter-finals,Main card,ONE Championship: Masters Of Destiny,
Strawweight 57 kg,Michelle Nicolini,Angela Lee,Decision (Unanimous),3,5:00,,Main card,ONE Championship: Masters Of Destiny,
Lightweight 77 kg,Ev Ting,Daichi Abe,Submission (Rear-Naked Choke),2,4:44,,Main card,ONE Championship: Masters Of Destiny,
Flyweight 61 kg,Gurdarshan Mangat,Abro Fernandes,Decision (Unanimous),3,5.00,,Main card,ONE Championship: Masters Of Destiny,
Atomweight 52 kg,Jihin Radzuan,Jomary Torres,Submission (Triangle Choke),1,3:07,,Main card,ONE Championship: Masters Of Destiny,
Bantamweight 66 kg,Troy Worthen,Chen Rui,TKO (Punches),2,3:39,,Main card,ONE Championship: Masters Of Destiny,
Flyweight 61 kg,Hiroki Akimoto,Kenny Tse,Decision (Unanimous),3,3:00,Kickboxing,Main card,ONE Championship: Masters Of Destiny,
Atomweight 52 kg,Janet Todd,Kai Ting Chuang,Decision (Majority),3,3:00,Kickboxing,Preliminary Card,ONE Championship: Masters Of Destiny,
Lightweight 77 kg,Dae Sung Park,Kimihiro Eto,TKO (Punches),2,1:59,,Preliminary Card,ONE Championship: Masters Of Destiny,
Flyweight 61 kg,Aleksi Toivonen,Akihiro Fujisawa,Submission (Rear-Naked Choke),1,3:27,,Preliminary Card,ONE Championship: Masters Of Destiny,
Bantamweight 66 kg,Mohammed Bin Mahmoud,Saiful Merican,Decision (Unanimous),3,3:00,Muay Thai,Preliminary Card,ONE Championship: Masters Of Destiny,
Strawweight 57 kg,Adrian Mattheis,Liu Peng Shuai,TKO (Punches),2,1:51,,Preliminary Card,ONE Championship: Masters Of Destiny,
Atomweight 52 kg,Bozhena Antoniyar,Bi Nguyen,Decision (Split),3,5:00,,Preliminary Card,ONE Championship: Masters Of Destiny,
Featherweight 70 kg,Sorgraw Petchyindee,George Mann,Decision (Split),3,3:00,Muay Thai,Preliminary Card,ONE Championship: Masters Of Destiny,
Flyweight 61 kg,Josh Tonna,Yoshihisa Morimoto,Decision (Unanimous),3,3:00,Kickboxing,Preliminary Card,ONE Championship: Masters Of Destiny,
Featherweight 70 kg,Zhang Wan Xin,Lu Rui Lei,Decision (Unanimous),3,5:00,Kickboxing,Main card,ONE Hero Series July,
Bantamweight 66 kg,Wang Jing Jia,Liu Meng Yu,Decision (Split),3,5:00,,Main card,ONE Hero Series July,
Featherweight 70 kg,Luo Chao,Zhang Meng Fei,TKO (Punches),2,2:54,Kickboxing,Main card,ONE Hero Series July,
Bantamweight 66 kg,Ze Ru,Li Hong Lin,Submission (Rear-Naked Choke),2,2:32,,Main card,ONE Hero Series July,
Catchweight 63 kg,Fan Jiale,Xiatihe Zhumatai,Submission (Rear-Naked Choke),1,4:42,,Main card,ONE Hero Series July,
Bantamweight 66 kg,Zhang Shuai,Hu Bin Qian,Decision (Unanimous),3,5:00,,Main card,ONE Hero Series July,
Catchweight 65 kg,Meng Ketuogesi,Xia Ming Quan,TKO (Punches),2,2:45,,Main card,ONE Hero Series July,
Flyweight 61 kg,Huang Ding,Yuan Hao,TKO (Knees),2,1:16,Muay Thai,Main card,ONE Hero Series July,
Featherweight 70 kg,Martin Nguyen (c),Koyomi Matsushima,TKO (Punches),2,4:40,For the ONE Featherweight Championship,Main card,ONE Championship: Dawn Of Heroes,
Flyweight 61 kg,Rodtang Jitmuangnon,Jonathan Haggerty (c),Decision (Unanimous),5,3:00,For the ONE Muay Thai Flyweight Championship,Main card,ONE Championship: Dawn Of Heroes,
Lightweight 77 kg,Eddie Alvarez,Eduard Folayang,Submission (Rear-Naked Choke),1,2:16,Lightweight Grand-Prix Semi-finals,Main card,ONE Championship: Dawn Of Heroes,
Flyweight 61 kg,Demetrious Johnson,Tatsumitsu Wada,Decision (Unanimous),3,5:00,Flyweight Grand-Prix Semi-finals,Main card,ONE Championship: Dawn Of Heroes,
Flyweight 61 kg,Danny Kingad,Reece McLaren,Decision (Split),3,5:00,Flyweight Grand-Prix Semi-finals,Main card,ONE Championship: Dawn Of Heroes,
Bantamweight 66 kg,Rodlek P.K. Saenchaimuaythaigym,Andrew Miller,KO (Punch),3,0:49,Muay Thai,Main card,ONE Championship: Dawn Of Heroes,
Flyweight 61 kg,Yuya Wakamatsu,Geje Eustaquio,KO (Punches),1,1:59,Flyweight Grand-Prix Reserve Bout,Preliminary Card,ONE Championship: Dawn Of Heroes,
Lightweight 77 kg,Dae Sung Park,Honorio Banario,Decision (Unanimous),3,5:00,,Preliminary Card,ONE Championship: Dawn Of Heroes,
Bantamweight 66 kg,Daichi Takenaka,Leandro Issa,TKO (Punches),3,1:39,,Preliminary Card,ONE Championship: Dawn Of Heroes,
Welterweight 84 kg,James Nakashima,Yushin Okami,Decision (Unanimous),3,5:00,,Preliminary Card,ONE Championship: Dawn Of Heroes,
Featherweight 70 kg,Xie Bin,Edward Kelly,Technical Decision (Unanimous),2,3:32,,Preliminary Card,ONE Championship: Dawn Of Heroes,
Strawweight 57 kg,Miao Li Tao,Pongsiri Mitsatit,Decision (Unanimous),3,5:00,,Preliminary Card,ONE Championship: Dawn Of Heroes,
Strawweight 57 kg,Ayaka Miura,Samara Santos,Submission (Americana),2,0:39,,Preliminary Card,ONE Championship: Dawn Of Heroes,
Bantamweight 66 kg,Muhammad Airman,Sunoto Peringkat,Decision (Unanimous),3,5:00,,Preliminary Card,ONE Championship: Dawn Of Heroes,
Strawweight 57 kg,Lito Adiwang,Anthony Do,Decision (Unanimous),3,5:00,,Main card,ONE Warrior Series 7,
Catchweight 68 kg,Alan Philpott,Myeong Gu Kim,TKO (Knee),3,1:24,,Main card,ONE Warrior Series 7,
Bantamweight 66 kg,Ali Motamed,Zechariah Lange,Decision (Unanimous),3,5:00,,Main card,ONE Warrior Series 7,
Flyweight 61 kg,Da Woon Jung,Detchadin Sornsirisuphathin,TKO (Punches),1,4:28,,Main card,ONE Warrior Series 7,
Welterweight 84 kg,Joseph Luciano,Koji Shikuwa,Decision (Unanimous),3,5:00,,Main card,ONE Warrior Series 7,
Strawweight 57 kg,Ismael Bandiwan,Adib Sulaiman,TKO (Punches),3,1:03,,Main card,ONE Warrior Series 7,
Strawweight 57 kg,Caitlin McEwen,Jenelyn Olsim,Submission (Armbar),1,0:59,,Main card,ONE Warrior Series 7,
Bantamweight 66 kg,Michael Walker,Akuri Ronda,Decision (Unanimous),3,5:00,,Main card,ONE Warrior Series 7,
Strawweight 57 kg,Dave Bangguigui,Alber Correia Da Silva,Submission (Rear-Naked Choke),2,4:42,,Main card,ONE Warrior Series 7,
Bantamweight 66 kg,Punnya Sai,Raghvendra Singh,Submission (Rear-Naked Choke),1,2:52,,Main card,ONE Warrior Series 7,
Atomweight 52 kg,Uyen Ha,Neha Kashyap,TKO (Punches),2,2:29,,Main card,ONE Warrior Series 7,
Strawweight 57 kg,Allan Albindo,Arif Izzudin,TKO (Punches),3,0:45,,Main card,ONE Warrior Series 7,
Strawweight 57 kg,Toreq,Hidayat Abdul,TKO (Injury),1,4:41,,Main card,ONE Warrior Series 7,
Flyweight 61 kg,Sai Nyan Lin,Matt Korro,Submission (Triangle Choke),1,3:17,,Main card,ONE Warrior Series 7,
Strawweight 57 kg,Lehe,Bryan Tee,TKO (Elbow),1,1:30,Muay Thai,Main card,ONE Warrior Series 7,
Flyweight 61 kg,Ilias Ennahachi,Petchdam Petchyindee Academy (c),KO (Punches),3,0:59,For the ONE Kickboxing Flyweight Championship,Main card,ONE Championship: Dreams of Gold,
Featherweight 70 kg,Giorgio Petrosyan,Jo Nattawut,KO (Punch),1,2:50,Kickboxing Featherweight Grand-Prix Semi-finals,Main card,ONE Championship: Dreams of Gold,
Atomweight 52 kg,Stamp Fairtex,Asha Roka,Submission (Rear-Naked Choke),3,1:29,,Main card,ONE Championship: Dreams of Gold,
Featherweight 70 kg,Samy Sana,Dzhabar Askerov,Decision (Majority),3,3:00,Kickboxing Featherweight Grand-Prix Semi-finals,Main card,ONE Championship: Dreams of Gold,
Strawweight 57 kg,Alex Silva,Stefer Rahardian,Submission (Armbar),2,4:55,,Main card,ONE Championship: Dreams of Gold,
Bantamweight 66 kg,Muangthai PKSaenchaimuaythaigym,Kenta Yamada,Decision (Unanimous),3,3:00,Muay Thai,Main card,ONE Championship: Dreams of Gold,
Featherweight 70 kg,Thanh Le,Kotetsu Boku,KO (Body kick and Punches),1,1:28,,Main card,ONE Championship: Dreams of Gold,
Flyweight 61 kg,Lerdsila Chumpairtour,Michael Savvas,TKO (Shoulder Injury),2,0:29,Muay Thai,Preliminary Card,ONE Championship: Dreams of Gold,
Featherweight 70 kg,Yusup Saadulaev,Dae Hwan Kim,Decision (Unanimous),3,5:00,,Preliminary Card,ONE Championship: Dreams of Gold,
Flyweight 61 kg,Chan Rothana,Gustavo Balart,Decision (Unanimous),3,5:00,,Preliminary Card,ONE Championship: Dreams of Gold,
Featherweight 70 kg,Bangpleenoi Petchyindee Academy,Liam Nolan,Decision (Majority),3,3:00,Muay Thai,Preliminary Card,ONE Championship: Dreams of Gold,
Strawweight 57 kg,Ryuto Sawada,Aziz Calim,Submission (Rear-Naked Choke),1,1:09,,Preliminary Card,ONE Championship: Dreams of Gold,
Bantamweight 66 kg,Alaverdi Ramazanov,Ognjen Topic,KO (Punch),1,2:25,Muay Thai,Preliminary Card,ONE Championship: Dreams of Gold,
Bantamweight 66 kg,Zhao Zhi Kang,Paul Lumihi,Submission (Rear-Naked Choke),2,4:08,,Preliminary Card,ONE Championship: Dreams of Gold,
Catchweight 73.5 kg,Liu Gui Cheng,Xu Liu,Decision (Unanimous),3,5:00,Kickboxing,Main card,ONE Hero Series August,
Bantamweight 66 kg,Pan Jia Yun,Liu Wei,Decision (Unanimous),3,5:00,Kickboxing,Main card,ONE Hero Series August,
Featherweight 70 kg,Luo Zhou Jiang Cuo,Li Hong Jiang,Submission (Triangle Choke),2,0:00,,Main card,ONE Hero Series August,
Catchweight 63 kg,Zhang Tao,Yang Hua,Decision (Unanimous),3,5:00,Kickboxing,Main card,ONE Hero Series August,
Strawweight 57 kg,Bian Ye,Wang Mao Lun,TKO (Body Kick And Punches),1,0:00,,Main card,ONE Hero Series August,
Lightweight 77 kg,Yuan Yi,Wang Hu,Submission (Arm-Triangle Choke),2,0:00,,Main card,ONE Hero Series August,
Flyweight 61 kg,Wang Jia Le,Huang Ding,TKO (Punches),3,0:00,Muay Thai,Main card,ONE Hero Series August,
Flyweight 61 kg,Zhao Bo Shi,Liu Hai Yang,Decision (Unanimous),3,5:00,Muay Thai,Main card,ONE Hero Series August,
Bantamweight 66 kg,Xie Xiao Hong,Meng Ketuogesi,Decision (Unanimous),3,5:00,,Main card,ONE Hero Series August,
Flyweight 61 kg,Yan Zhi Yuan,Wen Yun Bin,Decision (Unanimous),3,5:00,,Main card,ONE Hero Series August,
Flyweight 61 kg,Wei Zi Qin,Liu Quan,KO (Punch),2,0:00,Kickboxing,Main card,ONE Hero Series August,
Bantamweight 66 kg,Nong-O Gaiyanghadao (c),Brice Deval,Decision (Split),5,3:00,For the ONE Muay Thai Bantamweight Championship,Main card,ONE Championship: Immortal Triumph,
Bantamweight 66 kg,Kulabdam Sor.Jor.Piek-U-Thai,Bobo Sacko,Decision (Unanimous),3,3:00,Muay Thai,Main card,ONE Championship: Immortal Triumph,
Flyweight 61 kg,Nguyễn Trần Duy Nhất,Azwan Che Wil,KO (Punch),3,2:45,Muay Thai,Main card,ONE Championship: Immortal Triumph,
Light Heavyweight 102 kg,Anderson Silva,Beybulat Isaev,KO (Punches),1,2:19,Kickboxing,Main card,ONE Championship: Immortal Triumph,
Flyweight 61 kg,Chris Nguyen,Yukinori Ogasawara,Decision (Unanimous),3,3:00,Muay Thai,Main card,ONE Championship: Immortal Triumph,
Atomweight 52 kg,Bi Nguyen,Puja Tomar,Decision (Split),3,3:00,Muay Thai,Main card,ONE Championship: Immortal Triumph,
Flyweight 61 kg,Panpayak Jitmuangnon,Masahide Kudo,Decision (Unanimous),3,3:00,Kickboxing,Main card,ONE Championship: Immortal Triumph,
Flyweight 61 kg,Mongkolpetch Petchyindee,Joseph Lasiri,Decision (Majority),3,3:00,Muay Thai,Preliminary Card,ONE Championship: Immortal Triumph,
Welterweight 84 kg,Santino Verbeek,Juan Cervantes,Decision (Majority),3,3:00,Kickboxing,Preliminary Card,ONE Championship: Immortal Triumph,
Flyweight 61 kg,Kohei Kodera,Singtongnoi Por.Telakun,KO (Punches),1,0:41,Muay Thai,Preliminary Card,ONE Championship: Immortal Triumph,
Strawweight 57 kg,Viktoria Lipianska,Amber Kitchen,Decision (Split),3,3:00,Muay Thai,Preliminary Card,ONE Championship: Immortal Triumph,
Featherweight 70 kg,Michael Pham,Mohamad Fakri,Decision (Unanimous),3,3:00,Muay Thai,Preliminary Card,ONE Championship: Immortal Triumph,
Flyweight 61 kg,Xie Wei,Zou Jin Bo,TKO (Ground & Pound),1,4:35,,Main card,ONE Hero Series September,
Lightweight 77 kg,Lu Zheng,Ding Meng,KO (Head Kick),1,2:36,,Main card,ONE Hero Series September,
Lightweight 77 kg,Hu Si Le,Kurbanjiang Tuluosibake,Decision (Unanimous),3,5:00,,Main card,ONE Hero Series September,
Bantamweight 66 kg,Huyixibai,Wang Jing Jia,Decision (Unanimous),3,5:00,,Main card,ONE Hero Series September,
Flyweight 61 kg,Li Yuan Kun,Wang Chen Hao,TKO (Punches),1,0:39,Kickboxing,Main card,ONE Hero Series September,
Catchweight 80 kg,Gao Bo,A Gu De Mu,Submission (Armbar),1,,,Main card,ONE Hero Series September,
Catchweight 67.1 kg,Zhang Shuai,Wang Wu Ling,Decision (Unanimous),3,5:00,Kickboxing,Main card,ONE Hero Series September,
Catchweight 58.5 kg,Huang Yan Chuan,Liua Zhi Peng,Submission (Modified Americana),1,,,Main card,ONE Hero Series September,
Catchweight 63.5 kg,Xia Ming Quan,Gui Yan Zhao,Submission (Triangle Armbar),1,,,Main card,ONE Hero Series September,
Flyweight 61 kg,Huang Shuai Lu,Song Dong Dong,Decision (Unanimous),3,5:00,Kickboxing,Main card,ONE Hero Series September,
Flyweight 61 kg,Yang Fu Chong,Zhang Yu Sen,TKO (Knees & Punches),2,0:31,,Main card,ONE Hero Series September,
Welterweight 84 kg,Emmanuel Onyedikachi,Devon Morris,Technical Decision (Unanimous),3,4:28,,Main card,ONE Warrior Series 8,
Featherweight 70 kg,Ryoji Kudo,Jerry Olsim,Decision (Unanimous),3,5:00,,Main card,ONE Warrior Series 8,
Atomweight 52 kg,Sandra Godvik,Ayaka Miyauchi,Decision (Unanimous),3,5:00,Muay Thai,Main card,ONE Warrior Series 8,
Bantamweight 66 kg,Min Jong Song,Kodai Murata,Decision (Unanimous),4,5:00,,Main card,ONE Warrior Series 8,
Flyweight 61 kg,Nobutaka Naito,Alex Schild,Decision (Unanimous),3,5:00,,Main card,ONE Warrior Series 8,
Bantamweight 66 kg,Hikaru Yoshino,Chan Samart,Decision (Unanimous),3,5:00,,Main card,ONE Warrior Series 8,
Atomweight 52 kg,So Yul Kim,Satomi Takano,Decision (Unanimous),3,5:00,,Main card,ONE Warrior Series 8,
Lightweight 77 kg,Otgonbaatar Nergui,Takuya Nagata,Submission (Guillotine Choke),1,4:10,,Main card,ONE Warrior Series 8,
Featherweight 70 kg,Asuka Tsubaki,Long La,TKO (Punches),2,4:27,,Main card,ONE Warrior Series 8,
